Symbol
NVDA
AAPL
MSFT
AMZN
GOOGL
AVGO
GOOG
META
TSLA
BRKB
JPM
LLY
XOM
JNJ
WMT
V
COST
MA
MU
ABBV
HD
BAC
PG
NFLX
CVX
CSCO
CAT
AMD
GE
KO
MRK
PLTR
WFC
LRCX
PM
IBM
GS
RTX
AMAT
UNH
ORCL
MCD
PEP
INTC
C
GEV
LIN
MS
AMGN
TMO
TXN
DIS
VZ
AXP
ABT
GILD
KLAC
T
NEE
BA
SCHW
CRM
TJX
ISRG
APH
BLK
ADI
LOW
PFE
HON
UNP
ACN
UBER
QCOM
ETN
BKNG
DE
ANET
COF
DHR
WELL
COP
SPGI
MDT
LMT
PLD
NEM
BMY
SYK
PH
VRTX
INTU
CB
MCK
PGR
CMCSA
SBUX
BSX
ADBE
MO
CME
PANW
NOW
TT
SO
CVS
CRWD
APP
ICE
NOC
BX
WDC
PNC
GLW
TMUS
USB
DUK
ADP
MMM
MRSH
GD
JCI
HWM
EMR
RCL
FCX
BK
CRH
UPS
ITW
SHW
WM
EQIX
CEG
WMB
HCA
SNDK
AMT
REGN
ORLY
CMI
FDX
SNPS
GM
MDLZ
CDNS
CI
CSX
CL
SLB
ELV
PWR
MAR
VRT
NKE
ECL
AON
TFC
HLT
TDG
MSI
MCO
KKR
MRVL
NSC
CTAS
TRV
COR
PCAR
DASH
LHX
SPOT
SPG
AEP
PSX
WBD
APD
MPC
EOG
VLO
AZO
HOOD
ROST
AJG
BDX
KMI
DLR
BKR
NU
O
URI
MNST
SRE
ZTS
AFL
MPWR
SNOW
APO
ALL
FAST
CVNA
NET
CAH
F
D
AME
FTNT
GWW
AU
TGT
ABNB
IDXX
CMG
ADSK
OKE
VST
FERG
CARR
AMP
CBRE
EA
FITB
CTVA
DAL
TER
ROK
LNG
PSA
YUM
TRGP
EW
XEL
EXC
RSG
NUE
ETR
MET
VMC
FIX
AIG
SYY
WAB
ALNY
DHI
MLM
RBLX
KR
MSCI
MCHP
PEG
HIG
IR
EBAY
RMD
KEYS
ROP
LITE
HBAN
VTR
DELL
ED
NDAQ
CIEN
PYPL
UAL
ODFL
STT
CTSH
MTB
GEHC
COIN
A
KDP
CCL
PRU
WEC
PCG
MSTR
ACGL
CPRT
TTWO
COHR
OTIS
EQT
WDAY
CCI
DDOG
XYL
KMB
KVUE
HSY
EME
GRMN
OXY
FISV
FICO
DG
FANG
IBKR
ADM
PAYX
IQV
WTW
INSM
RJF
TPR
ULTA
HPE
LPLA
AXON
VICI
DOV
TDY
XYZ
HAL
RKLB
TSCO
BIIB
CFG
EXR
NRG
NTRS
PPG
MTD
CBOE
STLD
IRM
AEE
DTE
EXPE
RF
FTAI
FIS
ATO
ON
DXCM
DVN
JBL
VEEV
MDB
SYF
HUBB
CINF
PPL
PHM
NTRA
CNP
MKL
WSM
GIS
LUV
FE
SOFI
EXE
ES
DRI
VRSK
STE
AVB
CW
CHD
LDOS
ARES
IP
CASY
DLTR
EL
EIX
EFX
EQR
CPAY
AWK
FLUT
ZM
FTI
FLEX
STZ
CHRW
LEN
HUM
LH
CPNG
WWD
XPO
CTRA
SW
QSR
EXPD
WAT
NVR
OMC
ASTS
LYV
DOW
PSTG
FSLR
KEY
AMCR
CMS
RGLD
RBA
PFG
VLTO
DGX
ALAB
BRO
BR
TROW
TPL
PKG
CSGP
KHC
USFD
NI
NTAP
UTHR
Q
GPC
WRB
BURL
FCNCA
DD
SBAC
SGI
CHTR
WY
EXAS
IFF
ALB
SNA
FTV
L
BAM
VRSN
ILMN
HEIA
PTC
BALL
CNC
CDW
ATI
RS
NVT
HPQ
ENTG
TSN
LULU
ROL
GPN
LVS
FWONK
APTV
ZBH
BWXT
RKT
JBHT
WST
EVRG
J
SMCI
ITT
THC
CRS
RDDT
INCY
CSL
LNT
TXT
MKC
VTRS
DECK
PODD
RPRX
RVMD
LII
RBC
ZS
EWBC
HOLX
SCCO
MKSI
ESS
APG
SSNC
COO
TWLO
LECO
IEX
JLL
MTZ
INVH
FFIV
SUI
PNR
TEAM
TRMB
NLY
TLN
NDSN
AFRM
WPC
HII
MAA
BG
AA
GGG
CG
ALLE
MAS
TOL
WCC
FNF
TYL
PNFP
CF
AVY
RGA
CLX
RPM
MTSI
BLD
PFGC
WSO
TKO
MRNA
KIM
TRU
OKTA
QXO
RRX
LYB
SWK
RNR
EG
HEI
NBIX
FOXA
AKAM
CACI
BBY
REG
EQH
BLDR
SNX
VIK
ACM
IONS
CLH
GDDY
BJ
HST
GEN
CCK
DKS
FHN
TW
RL
DTM
OHI
SF
EVR
ALGN
ZBRA
PEN
JKHY
DKNG
MLI
TOST
TXRH
DCI
UNM
DPZ
ELS
UDR
HAS
WMS
ELAN
GLPI
AIZ
GL
TTD
WBS
OVV
MEDP
UHS
SCI
RVTY
AGNC
LSCC
EXEL
ALLY
HUBS
IT
LAMR
DOC
PINS
SOLV
CPT
RIVN
PR
BWA
OC
AES
FLS
SJM
OSK
PNW
CNM
BAX
AIT
FIVE
NYT
ROKU
BMRN
SAIA
GNRC
TTEK
GWRE
SSB
CNH
BAH
WTFC
WTRG
TECH
AMH
QGEN
NCLH
EPAM
EHC
SOLS
NTNX
ONTO
BPOP
GME
ARMK
AYI
BXP
WAL
AAL
DT
HALO
AR
IVZ
EGP
GMED
JAZZ
ROIV
TTC
SN
ALSN
APA
ZION
